iter	Passed	Remaining
0	0	163
1	0	181
2	0	157
3	0	140
4	1	202
5	1	234
6	1	247
7	2	291
8	3	380
9	3	373
10	4	377
11	4	378
12	5	389
13	5	381
14	5	371
15	6	396
16	6	391
17	7	398
18	7	404
19	8	415
20	9	420
21	9	414
22	9	419
23	10	419
24	10	419
25	11	427
26	11	426
27	12	424
28	12	427
29	13	420
30	13	420
31	14	425
32	14	421
33	14	411
34	14	403
35	14	396
36	15	395
37	15	387
38	15	380
39	15	374
40	15	368
41	16	365
42	16	361
43	16	358
44	16	355
45	17	355
46	17	350
47	17	347
48	17	346
49	18	344
50	18	340
51	18	335
52	18	333
53	19	333
54	19	332
55	19	331
56	19	328
57	19	323
58	20	322
59	20	320
60	20	317
61	20	314
62	21	314
63	21	312
64	21	312
65	21	310
66	22	309
67	22	307
68	22	306
69	23	305
70	23	304
71	23	302
72	23	300
73	23	299
74	24	298
75	24	297
76	24	296
77	24	294
78	25	292
79	25	291
80	25	288
81	25	286
82	25	284
83	25	282
84	26	282
85	26	279
86	26	279
87	26	277
88	27	276
89	27	275
90	27	274
91	27	273
92	27	272
93	28	270
94	28	270
95	28	268
96	28	268
97	29	267
98	29	266
99	29	266
100	29	264
101	29	262
102	29	261
103	30	259
104	30	258
105	30	257
106	30	257
107	30	255
108	31	254
109	31	252
110	31	251
111	31	250
112	31	249
113	31	247
114	32	246
115	32	245
116	32	244
117	32	243
118	32	241
119	32	241
120	32	239
121	33	238
122	33	236
123	33	236
124	33	235
125	33	234
126	33	233
127	34	232
128	34	231
129	34	231
130	34	230
131	34	229
132	35	228
133	35	227
134	35	227
135	35	226
136	35	225
137	35	224
138	36	223
139	36	222
140	36	221
141	36	220
142	36	219
143	36	218
144	36	217
145	36	216
146	37	215
147	37	214
148	37	213
149	37	213
150	37	212
151	37	211
152	38	211
153	38	210
154	38	209
155	38	209
156	38	208
157	38	207
158	39	206
159	39	205
160	39	205
161	39	204
162	39	204
163	39	203
164	40	202
165	40	201
166	40	200
167	40	200
168	40	199
169	40	198
170	40	198
171	41	197
172	41	196
173	41	196
174	41	196
175	41	195
176	41	195
177	42	194
178	42	194
179	42	194
180	42	193
181	43	193
182	43	193
183	43	193
184	43	192
185	44	192
186	44	192
187	44	191
188	44	191
189	44	190
190	44	190
191	45	189
192	45	188
193	45	188
194	45	188
195	45	187
196	45	187
197	46	186
198	46	186
199	46	185
200	46	185
201	46	185
202	47	184
203	47	184
204	47	184
205	47	184
206	48	183
207	48	183
208	48	183
209	48	183
210	48	182
211	49	182
212	49	181
213	49	181
214	49	180
215	49	180
216	49	179
217	50	179
218	50	178
219	50	178
220	50	178
221	50	177
222	50	177
223	51	177
224	51	176
225	51	176
226	51	175
227	51	175
228	52	175
229	52	174
230	52	174
231	52	174
232	52	173
233	53	173
234	53	173
235	53	172
236	53	172
237	53	172
238	54	171
239	54	171
240	54	171
241	54	170
242	54	170
243	55	170
244	55	170
245	55	169
246	55	169
247	55	168
248	55	168
249	55	167
250	56	167
251	56	167
252	56	166
253	56	166
254	56	166
255	57	166
256	57	165
257	57	165
258	57	165
259	57	165
260	58	164
261	58	164
262	58	164
263	58	164
264	58	163
265	59	163
266	59	162
267	59	162
268	59	162
269	59	161
270	59	161
271	60	160
272	60	160
273	60	159
274	60	159
275	60	158
276	60	158
277	61	158
278	61	158
279	61	158
280	61	157
281	61	157
282	62	157
283	62	156
284	62	156
285	62	156
286	63	156
287	63	156
288	63	155
289	63	155
290	63	155
291	64	155
292	64	154
293	64	154
294	64	154
295	64	154
296	65	153
297	65	153
298	65	153
299	65	153
300	65	152
301	66	152
302	66	152
303	66	151
304	66	151
305	66	151
306	66	151
307	67	150
308	67	150
309	67	150
310	67	150
311	67	149
312	68	149
313	68	149
314	68	148
315	68	148
316	68	148
317	69	148
318	69	147
319	69	147
320	69	147
321	69	147
322	70	146
323	70	146
324	70	146
325	70	146
326	71	146
327	71	145
328	71	145
329	71	145
330	71	145
331	71	144
332	72	144
333	72	144
334	72	143
335	72	143
336	72	143
337	72	142
338	73	142
339	73	142
340	73	141
341	73	141
342	73	141
343	74	141
344	74	140
345	74	140
346	74	140
347	74	139
348	74	139
349	75	139
350	75	139
351	75	138
352	75	138
353	75	138
354	75	137
355	76	137
356	76	137
357	76	136
358	76	136
359	76	136
360	76	135
361	76	135
362	77	135
363	77	134
364	77	134
365	77	134
366	77	133
367	77	133
368	77	133
369	78	133
370	78	132
371	78	132
372	78	132
373	78	132
374	79	131
375	79	131
376	79	131
377	79	130
378	79	130
379	79	130
380	80	130
381	80	129
382	80	129
383	80	129
384	81	129
385	81	129
386	81	129
387	81	128
388	81	128
389	82	128
390	82	128
391	82	127
392	82	127
393	82	127
394	83	127
395	83	127
396	83	126
397	83	126
398	83	126
399	84	126
400	84	125
401	84	125
402	84	125
403	84	125
404	85	124
405	85	124
406	85	124
407	85	124
408	85	123
409	85	123
410	86	123
411	86	123
412	86	122
413	86	122
414	86	122
415	87	122
416	87	122
417	87	121
418	87	121
419	87	121
420	88	121
421	88	121
422	88	120
423	88	120
424	89	120
425	89	120
426	89	120
427	89	119
428	90	119
429	90	119
430	90	119
431	90	119
432	91	119
433	91	119
434	91	119
435	91	118
436	92	118
437	92	118
438	92	118
439	92	117
440	92	117
441	92	117
442	92	116
443	93	116
444	93	116
445	93	116
446	94	116
447	94	116
448	94	115
449	94	115
450	94	115
451	95	115
452	95	115
453	95	114
454	95	114
455	95	114
456	96	114
457	96	114
458	96	113
459	96	113
460	97	113
461	97	113
462	97	112
463	97	112
464	97	112
465	98	112
466	98	112
467	98	111
468	98	111
469	98	111
470	98	111
471	99	110
472	99	110
473	99	110
474	99	110
475	100	110
476	100	110
477	100	109
478	100	109
479	101	109
480	101	109
481	101	109
482	101	109
483	102	108
484	102	108
485	102	108
486	102	108
487	103	108
488	103	108
489	103	107
490	104	107
491	104	107
492	104	107
493	104	107
494	105	107
495	105	107
496	105	106
497	105	106
498	106	106
499	106	106
500	106	106
501	106	106
502	107	105
503	107	105
504	107	105
505	108	105
506	108	105
507	108	105
508	108	104
509	109	104
510	109	104
511	109	104
512	110	104
513	110	104
514	110	104
515	110	104
516	111	103
517	111	103
518	111	103
519	112	103
520	112	103
521	112	103
522	113	103
523	113	102
524	113	102
525	113	102
526	114	102
527	114	102
528	114	102
529	115	101
530	115	101
531	115	101
532	115	101
533	116	101
534	116	101
535	116	100
536	116	100
537	117	100
538	117	100
539	117	100
540	118	100
541	118	99
542	118	99
543	118	99
544	119	99
545	119	99
546	119	99
547	119	98
548	120	98
549	120	98
550	120	98
551	120	98
552	121	97
553	121	97
554	121	97
555	121	97
556	122	97
557	122	96
558	122	96
559	123	96
560	123	96
561	123	96
562	123	96
563	124	96
564	124	95
565	124	95
566	124	95
567	125	95
568	125	95
569	125	94
570	126	94
571	126	94
572	126	94
573	126	94
574	127	94
575	127	93
576	127	93
577	127	93
578	128	93
579	128	93
580	128	92
581	129	92
582	129	92
583	129	92
584	129	92
585	130	91
586	130	91
587	130	91
588	130	91
589	131	91
590	131	90
591	131	90
592	131	90
593	132	90
594	132	90
595	132	90
596	133	89
597	133	89
598	133	89
599	133	89
600	134	89
601	134	88
602	134	88
603	135	88
604	135	88
605	135	88
606	135	87
607	136	87
608	136	87
609	136	87
610	136	87
611	137	86
612	137	86
613	137	86
614	137	86
615	138	86
616	138	85
617	138	85
618	138	85
619	139	85
620	139	85
621	139	84
622	140	84
623	140	84
624	140	84
625	140	84
626	141	83
627	141	83
628	141	83
629	141	83
630	142	83
631	142	82
632	142	82
633	142	82
634	143	82
635	143	82
636	143	81
637	144	81
638	144	81
639	144	81
640	144	81
641	145	80
642	145	80
643	145	80
644	145	80
645	146	80
646	146	79
647	146	79
648	146	79
649	147	79
650	147	79
651	147	78
652	147	78
653	148	78
654	148	78
655	148	78
656	149	77
657	149	77
658	149	77
659	149	77
660	150	76
661	150	76
662	150	76
663	150	76
664	151	76
665	151	75
666	151	75
667	151	75
668	152	75
669	152	75
670	152	74
671	153	74
672	153	74
673	153	74
674	153	74
675	154	73
676	154	73
677	154	73
678	155	73
679	155	73
680	155	72
681	155	72
682	156	72
683	156	72
684	156	72
685	156	71
686	157	71
687	157	71
688	157	71
689	158	71
690	158	70
691	158	70
692	158	70
693	159	70
694	159	69
695	159	69
696	159	69
697	160	69
698	160	69
699	160	68
700	161	68
701	161	68
702	161	68
703	161	68
704	162	67
705	162	67
706	162	67
707	162	67
708	163	66
709	163	66
710	163	66
711	164	66
712	164	66
713	164	65
714	164	65
715	165	65
716	165	65
717	165	65
718	165	64
719	166	64
720	166	64
721	166	64
722	166	63
723	167	63
724	167	63
725	167	63
726	168	63
727	168	62
728	168	62
729	168	62
730	169	62
731	169	62
732	169	61
733	169	61
734	170	61
735	170	61
736	170	60
737	170	60
738	171	60
739	171	60
740	171	60
741	172	59
742	172	59
743	172	59
744	172	59
745	173	58
746	173	58
747	173	58
748	173	58
749	174	58
750	174	57
751	174	57
752	174	57
753	175	57
754	175	56
755	175	56
756	176	56
757	176	56
758	176	56
759	176	55
760	177	55
761	177	55
762	177	55
763	177	54
764	178	54
765	178	54
766	178	54
767	178	54
768	179	53
769	179	53
770	179	53
771	180	53
772	180	52
773	180	52
774	180	52
775	181	52
776	181	52
777	181	51
778	181	51
779	182	51
780	182	51
781	182	50
782	182	50
783	183	50
784	183	50
785	183	49
786	183	49
787	184	49
788	184	49
789	184	49
790	184	48
791	184	48
792	185	48
793	185	48
794	185	47
795	185	47
796	186	47
797	186	47
798	186	46
799	186	46
800	187	46
801	187	46
802	187	46
803	187	45
804	187	45
805	188	45
806	188	45
807	188	44
808	189	44
809	189	44
810	189	44
811	189	43
812	190	43
813	190	43
814	190	43
815	190	43
816	190	42
817	191	42
818	191	42
819	191	42
820	191	41
821	192	41
822	192	41
823	192	41
824	192	40
825	193	40
826	193	40
827	193	40
828	193	40
829	194	39
830	194	39
831	194	39
832	194	39
833	195	38
834	195	38
835	195	38
836	195	38
837	196	37
838	196	37
839	196	37
840	196	37
841	197	37
842	197	36
843	197	36
844	197	36
845	198	36
846	198	35
847	198	35
848	198	35
849	199	35
850	199	34
851	199	34
852	199	34
853	200	34
854	200	33
855	200	33
856	201	33
857	201	33
858	201	33
859	201	32
860	202	32
861	202	32
862	202	32
863	202	31
864	203	31
865	203	31
866	203	31
867	203	31
868	204	30
869	204	30
870	204	30
871	204	30
872	205	29
873	205	29
874	205	29
875	205	29
876	206	28
877	206	28
878	206	28
879	206	28
880	207	27
881	207	27
882	207	27
883	207	27
884	208	27
885	208	26
886	208	26
887	208	26
888	209	26
889	209	25
890	209	25
891	209	25
892	210	25
893	210	24
894	210	24
895	210	24
896	211	24
897	211	24
898	211	23
899	211	23
900	212	23
901	212	23
902	212	22
903	212	22
904	213	22
905	213	22
906	213	21
907	213	21
908	214	21
909	214	21
910	214	20
911	215	20
912	215	20
913	215	20
914	216	20
915	216	19
916	216	19
917	217	19
918	217	19
919	217	18
920	217	18
921	218	18
922	218	18
923	218	17
924	219	17
925	219	17
926	219	17
927	219	17
928	219	16
929	220	16
930	220	16
931	220	16
932	220	15
933	221	15
934	221	15
935	221	15
936	221	14
937	222	14
938	222	14
939	222	14
940	223	13
941	223	13
942	223	13
943	223	13
944	224	13
945	224	12
946	224	12
947	224	12
948	225	12
949	225	11
950	225	11
951	226	11
952	226	11
953	226	10
954	226	10
955	227	10
956	227	10
957	227	9
958	227	9
959	228	9
960	228	9
961	228	9
962	229	8
963	229	8
964	229	8
965	229	8
966	230	7
967	230	7
968	230	7
969	230	7
970	231	6
971	231	6
972	231	6
973	231	6
974	232	5
975	232	5
976	232	5
977	233	5
978	233	5
979	233	4
980	233	4
981	234	4
982	234	4
983	234	3
984	234	3
985	235	3
986	235	3
987	235	2
988	235	2
989	236	2
990	236	2
991	236	1
992	237	1
993	237	1
994	237	1
995	237	0
996	238	0
997	238	0
998	238	0
999	238	0
